PRODUCT,10013,,,PRODUCT,SIM Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10013,,,PRODUCT,SIM Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10014,,,PRODUCT,SIM Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10014,,,PRODUCT,SIM Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10020,,,PRODUCT,SIM Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10020,,,PRODUCT,SIM Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10023,,,PRODUCT,SIM Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10023,,,PRODUCT,SIM Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10024,,,PRODUCT,Eco Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10024,,,PRODUCT,Eco Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10025,,,PRODUCT,Eco Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10025,,,PRODUCT,Eco Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10026,,,PRODUCT,Smart Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10026,,,PRODUCT,Smart Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10027,,,PRODUCT,Smart Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10027,,,PRODUCT,Smart Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10055,,,PRODUCT,SIM Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10055,,,PRODUCT,SIM Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10056,,,PRODUCT,SIM Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10056,,,PRODUCT,SIM Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10057,,,PRODUCT,SIM Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10057,,,PRODUCT,SIM Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10058,,,PRODUCT,SIM Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10058,,,PRODUCT,SIM Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10200,,,PRODUCT,SIM Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10200,,,PRODUCT,SIM Susp Técnico CBP,,,,CEASE,CEASE,F2,,
PRODUCT,10208,,,PRODUCT,SIM Susp Administrativo CBP,,,,CEASE,CEASE,F2,,
